Date,Open,High,Low,Close,Close_EWMA,Close_50_MA,Adj_Close,Volume
2017-08-24,40.1075,40.185,39.6375,39.8175,39.68017,37.7533,38.00117,79275600
2017-08-25,39.9125,40.14,39.8175,39.965,39.73196,37.83115,38.14194,101920400
2017-08-28,40.035,40.5,39.9825,40.3675,39.84751,37.92715,38.52608,103864000
2017-08-29,40.025,40.78,40,40.7275,40.00751,38.01,38.86965,118067600
2017-08-30,40.95,40.9725,40.6525,40.8375,40.15842,38.1017,38.97464,109078400
2017-08-31,40.91,41.13,40.87,41,40.31143,38.19235,39.12973,107140400
2017-09-01,41.2,41.235,40.9075,41.0125,40.4389,38.28445,39.14166,66364400
2017-09-05,40.9375,41.0625,40.14,40.52,40.45364,38.36345,38.67162,117874000
2017-09-06,40.6775,40.7475,40.13,40.4775,40.45798,38.4439,38.63106,86606800
2017-09-07,40.5225,40.56,40.09,40.315,40.43199,38.53155,38.47597,87714000
2017-09-08,40.215,40.2875,39.6325,39.6575,40.29117,38.59555,37.84846,114446000
2017-09-11,40.125,40.5125,39.9725,40.375,40.30641,38.68465,38.53324,126323200
2017-09-12,40.6525,40.99,39.6925,40.215,40.28979,38.76885,38.38054,286856000
2017-09-13,39.9675,39.99,39.4775,39.9125,40.22119,38.8496,38.09184,179629600
2017-09-14,39.7475,39.85,39.5225,39.57,40.10279,38.92055,37.76495,95042800
2017-09-15,39.6175,40.2425,39.5,39.97,40.07865,39.0063,38.14671,196458400
2017-09-18,40.0275,40.125,39.5,39.6675,40.0039,39.07875,37.85801,113077600
2017-09-19,39.8775,39.9425,39.61,39.6825,39.94546,39.1471,37.87233,83242400
2017-09-20,39.475,39.565,38.4575,39.0175,39.77674,39.1998,37.23766,211805600
2017-09-21,38.95,38.95,38.1875,38.3475,39.51688,39.23805,36.59823,150046800
2017-09-22,37.885,38.0675,37.64,37.9725,39.23608,39.25865,36.24032,186581600
2017-09-25,37.4975,37.9575,37.29,37.6375,38.94543,39.2662,35.92061,177549200
2017-09-26,37.945,38.48,37.9225,38.285,38.82535,39.2841,36.53857,146640000
2017-09-27,38.45,38.68,38.385,38.5575,38.77665,39.30485,36.79864,102016800
2017-09-28,38.4725,38.57,38.175,38.32,38.69362,39.31615,36.57197,88022000
2017-09-29,38.3025,38.5325,38,38.53,38.66387,39.33505,36.7724,105199200
2017-10-02,38.565,38.6125,38.18,38.4525,38.62544,39.35275,36.69843,74795200
2017-10-03,38.5025,38.7725,38.4775,38.62,38.62445,39.3647,36.8583,64921200
2017-10-04,38.4075,38.465,38.115,38.37,38.57819,39.3684,36.61969,80655200
2017-10-05,38.545,38.86,38.5125,38.8475,38.62715,39.37805,37.07541,85135200
2017-10-06,38.7425,38.8725,38.64,38.825,38.66313,39.40175,37.05394,69630400
2017-10-09,38.9525,39.1825,38.8725,38.96,38.7171,39.43345,37.18279,65051600
2017-10-10,39.015,39.5,38.775,38.975,38.76399,39.4693,37.19709,62468000
2017-10-11,38.9925,39.245,38.9375,39.1375,38.8319,39.5018,37.35218,67622400
2017-10-12,39.0875,39.3425,38.9325,39,38.86247,39.4961,37.22096,64500400
2017-10-13,39.1825,39.32,39.1025,39.2475,38.93247,39.5032,37.45716,65576800
2017-10-16,39.475,40,39.4125,39.97,39.12111,39.52065,38.14671,96486000
2017-10-17,39.945,40.2175,39.8075,40.1175,39.30228,39.52895,38.28748,75989200
2017-10-18,40.105,40.1775,39.9,39.94,39.41823,39.52735,38.11807,65496800
2017-10-19,39.1875,39.27,38.755,38.995,39.34127,39.50195,37.21619,170336800
2017-10-20,39.1525,39.4375,38.99,39.0625,39.29059,39.5066,37.28061,95896400
